Punto,Fecha,Métrica,Instalaciones en dispositivos activos,Notas
2017-01-04 - 2019-02-18,2017-10-18,,6867
2017-01-04 - 2019-02-18,2017-10-19,,6866
2017-01-04 - 2019-02-18,2017-10-20,,6840
2017-01-04 - 2019-02-18,2017-10-21,,6822
2017-01-04 - 2019-02-18,2017-10-22,,6837
2017-01-04 - 2019-02-18,2017-10-23,,6819
2017-01-04 - 2019-02-18,2017-10-24,,6818
2017-01-04 - 2019-02-18,2017-10-25,,6828
2017-01-04 - 2019-02-18,2017-10-26,,6826
2017-01-04 - 2019-02-18,2017-10-27,,6814
2017-01-04 - 2019-02-18,2017-10-28,,6815
2017-01-04 - 2019-02-18,2017-10-29,,6807
2017-01-04 - 2019-02-18,2017-10-30,,6796
2017-01-04 - 2019-02-18,2017-10-31,,6793
2017-01-04 - 2019-02-18,2017-11-01,,6790
2017-01-04 - 2019-02-18,2017-11-02,,6759
2017-01-04 - 2019-02-18,2017-11-03,,6751
2017-01-04 - 2019-02-18,2017-11-04,,6717
2017-01-04 - 2019-02-18,2017-11-05,,6725
2017-01-04 - 2019-02-18,2017-11-06,,6717
2017-01-04 - 2019-02-18,2017-11-07,,6730
2017-01-04 - 2019-02-18,2017-11-08,,6727
2017-01-04 - 2019-02-18,2017-11-09,,6704,"Rollout of release - Started rollout of 1.3.1 at 20%, Rollout of release - Increased rollout of 1.3.1 to 100%"
2017-01-04 - 2019-02-18,2017-11-10,,6699
2017-01-04 - 2019-02-18,2017-11-11,,6690
2017-01-04 - 2019-02-18,2017-11-12,,6679
2017-01-04 - 2019-02-18,2017-11-13,,6682
2017-01-04 - 2019-02-18,2017-11-14,,6685
2017-01-04 - 2019-02-18,2017-11-15,,6701
2017-01-04 - 2019-02-18,2017-11-16,,6712
2017-01-04 - 2019-02-18,2017-11-17,,6708
2017-01-04 - 2019-02-18,2017-11-18,,6713,"Rollout of release - Started rollout of 1.4.0 at 20%, Rollout of release - Increased rollout of 1.4.0 to 100%"
2017-01-04 - 2019-02-18,2017-11-19,,6706
2017-01-04 - 2019-02-18,2017-11-20,,6706
2017-01-04 - 2019-02-18,2017-11-21,,6721
2017-01-04 - 2019-02-18,2017-11-22,,6722
2017-01-04 - 2019-02-18,2017-11-23,,6722
2017-01-04 - 2019-02-18,2017-11-24,,6722
2017-01-04 - 2019-02-18,2017-11-25,,6706
2017-01-04 - 2019-02-18,2017-11-26,,6697
2017-01-04 - 2019-02-18,2017-11-27,,6700
2017-01-04 - 2019-02-18,2017-11-28,,6696
2017-01-04 - 2019-02-18,2017-11-29,,6683
2017-01-04 - 2019-02-18,2017-11-30,,6669
2017-01-04 - 2019-02-18,2017-12-01,,6685
2017-01-04 - 2019-02-18,2017-12-02,,6675
2017-01-04 - 2019-02-18,2017-12-03,,6687
2017-01-04 - 2019-02-18,2017-12-04,,6691
2017-01-04 - 2019-02-18,2017-12-05,,6710
2017-01-04 - 2019-02-18,2017-12-06,,6718
2017-01-04 - 2019-02-18,2017-12-07,,6715
2017-01-04 - 2019-02-18,2017-12-08,,6700
2017-01-04 - 2019-02-18,2017-12-09,,6699
2017-01-04 - 2019-02-18,2017-12-10,,6695
2017-01-04 - 2019-02-18,2017-12-11,,6684
2017-01-04 - 2019-02-18,2017-12-12,,6697
2017-01-04 - 2019-02-18,2017-12-13,,6698
2017-01-04 - 2019-02-18,2017-12-14,,6721
2017-01-04 - 2019-02-18,2017-12-15,,6728
2017-01-04 - 2019-02-18,2017-12-16,,6732
2017-01-04 - 2019-02-18,2017-12-17,,6734
2017-01-04 - 2019-02-18,2017-12-18,,6762
2017-01-04 - 2019-02-18,2017-12-19,,6764
2017-01-04 - 2019-02-18,2017-12-20,,6779
2017-01-04 - 2019-02-18,2017-12-21,,6781
2017-01-04 - 2019-02-18,2017-12-22,,6781
2017-01-04 - 2019-02-18,2017-12-23,,6771
2017-01-04 - 2019-02-18,2017-12-24,,6740
2017-01-04 - 2019-02-18,2017-12-25,,6727
2017-01-04 - 2019-02-18,2017-12-26,,6748
2017-01-04 - 2019-02-18,2017-12-27,,6770
2017-01-04 - 2019-02-18,2017-12-28,,6773
2017-01-04 - 2019-02-18,2017-12-29,,6782
